simulation_id,timestamp,aggregation,num_rounds,local_epochs,num_malicious_clients,backdoor_attack_mode,alpha,final_centralized_mta,final_centralized_asr,dist_mta_history,dist_asr_history,central_mta_history,central_asr_history,notes
exp-01,2025-11-04T03:32:04.531807,fedavg,,,10,,0.9,0.000000,0.000000,"[0.1275657252982883, 0.524162479009655, 0.7323296161766837, 0.7654921822847207, 0.8146991105954372, 0.8203044720578851, 0.8303181225188885, 0.8552502311285017, 0.8548747547600788, 0.8482214424418778]","[0.0, 0.022564050155394536, 0.04410029694889206, 0.05052796152579819, 0.06646203901736791, 0.06916537603827048, 0.07564632736183009, 0.09426969440900725, 0.08924331914640819, 0.0780448187268222]",[],[],
exp-01,2026-04-08T20:46:02.732971,krum,,,100,per-round-attack,0.9,0.000000,0.000000,"[0.9969498413957176, 0.9854944827180345, 0.9659619738767266, 0.9954308763566075, 0.9966988286019557, 0.9918321234663054, 0.9942464926734369, 0.9957199593047987, 0.9854809573633521, 0.9840777124343185, 0.9710872142746746, 0.9854949125208551, 0.9910360996161593, 0.9884910103423887, 0.9884816155312809, 0.9813544121839071, 0.9865527099587418, 0.9883039063099618, 0.9835481070310272, 0.9956515098574847, 0.9793154310177933, 0.9891012008087305, 0.9954587795627718, 0.981108073602751, 0.9862615158246619, 0.9887821702553511, 0.9885654130593677, 0.9896673352951412, 0.9950171050240181, 0.9939367653803999, 0.9967364090566392, 0.9886815358799999, 0.9939475421920241, 0.9950011007967958, 0.9699161112154512, 0.9773294939954127, 0.9901920713471692, 0.982086052795719, 0.9921533666052238, 0.9961874362720259, 0.9852020820621983, 0.9907313556265809, 0.9930020542628029, 0.9917869985443344, 0.9876934815668644, 0.9921124346009267, 0.9850346209773921, 0.9932308472112382, 0.9879761152223339, 0.9952926015767132, 0.9916144950574288, 0.9906059591512465, 0.9895386660912356, 0.9908954750529206, 0.9956347901002506, 0.9970752285929765, 0.9940512653728334, 0.9945354028848422, 0.9902913999603042, 0.9919215022224595, 0.9899955359107828, 0.9919774934200193, 0.9931313394280101, 0.9800918042084836, 0.9833184223386509, 0.9819578947512166, 0.9887370087225268, 0.9889830222320647, 0.9887816566003155, 0.9896506464528132, 0.9948469945032506, 0.9904400239237588, 0.9930976256593362, 0.9911049566849754, 0.9917028550407672, 0.9973035677970724, 0.9959131813096997, 0.9933730321577412, 0.9918601856184676, 0.9957547715442452, 0.9946932071645339, 0.9919060542004828, 0.9898554361891948, 0.9844043179961648, 0.9926026565732073, 0.9914206712301628, 0.9967132450163538, 0.9914019464457944, 0.9750201730689119, 0.9886360255592972, 0.991228654196924, 0.9932246561676408, 0.9923472521099701, 0.9953849144713098, 0.9959389053399879, 0.9877498794979441, 0.9932425408129202, 0.9925265619729847, 0.99055018816838, 0.9899171668398941]","[0.14489031977311048, 0.47204539327313666, 0.49629260359076294, 0.33508239902148307, 0.3829612495499947, 0.664204271514264, 0.4119601300044355, 0.4797605188243147, 0.6781082388674983, 0.8120041554383339, 0.5131817739494081, 0.9399814583713297, 0.8123788321938438, 0.8723392163975809, 0.9180002463165989, 0.8988596989079746, 0.9151971842722618, 0.9954992680593395, 0.9640546019119043, 0.990928037279966, 0.9511661627605289, 0.9452713006366092, 0.9172496039556768, 0.9053656458126493, 0.9361523016415022, 0.9398228884951699, 0.9288834200763846, 0.9030174019002223, 0.9373432175962849, 0.9118608398661554, 0.9288861354854976, 0.9977564102564103, 0.9714001911254744, 0.9573018648789274, 0.9897685857788382, 0.997999199679872, 0.9976899220466974, 0.9300420302865045, 0.9542465606878977, 0.9582564569364618, 0.9792546777432516, 0.9852204754725513, 0.9823707913033793, 0.9863100768539705, 0.9969877797698246, 0.9976138234195545, 0.9959049804603899, 0.9973973018820346, 0.9937351214731749, 0.9949593698175787, 0.9994011976047904, 0.9986342315828198, 1.0, 0.9993288590604028, 0.9977611940298508, 0.999390243902439, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9992592592592594, 0.9967761002078424, 0.999390243902439, 0.9970455097139734, 0.997644722093247, 0.9992307692307693, 0.9983673205988642, 0.9985691573926868, 0.99799570289068, 1.0, 0.9986390532544378, 0.9979208517476899, 1.0, 1.0, 0.9994011976047904, 1.0, 0.9992366412213741, 0.9972310274287903, 0.9995495495495496, 0.9960908000024121, 0.9991935483870968, 0.9981997255308981, 0.9984528076463561, 0.9979920823155982, 0.9984251968503937, 1.0, 0.9969279635764418, 0.9983332175845545, 0.9980700303280947, 0.9993710691823899, 0.9978703703703703, 0.9993710691823899, 1.0, 0.9991869918699188, 1.0, 0.9994623655913978]",[],[],
exp-01,2026-04-08T21:30:57.713837,multikrum,,,100,per-round-attack,0.9,0.000000,0.000000,"[0.9949750192747049, 0.9953106197519755, 0.993024264819877, 0.991846138571199, 0.9923292081971379, 0.9953541351313356, 0.9960034398181383, 0.9881899661902697, 0.9950136670465868, 0.9897717080015509, 0.997165541755094, 0.9940788699677103, 0.996022690581961, 0.995354794547479, 0.9953174579291758, 0.99574585437261, 0.9940800313762379, 0.9974822552564617, 0.9918676730514271, 0.9874641616772944, 0.9926910118243782, 0.9859153020030925, 0.987391939757446, 0.9964244974544606, 0.9891345842829035, 0.9935502674516459, 0.9965286840124652, 0.9943868260875028, 0.9946399983816313, 0.9920366612515756, 0.9924702377154381, 0.9984276729559749, 0.9922117589718511, 0.9910499405611821, 0.9946972502894702, 0.9945824102678555, 0.9937441668195127, 0.9971943194465782, 0.9918991750192795, 0.9909512840481682, 0.9936250191240834, 0.9927268109145675, 0.9921356221206526, 0.9932346162394754, 0.9961858578764154, 0.9913339375181625, 0.9956727783086479, 0.9905599618886407, 0.9890567408250227, 0.9970113426987617, 0.9945705999862537, 0.9905656094769922, 0.991867947953535, 0.992938792413838, 0.9925993126592785, 0.9908719819032615, 0.9983213906581743, 0.9959491005199587, 0.9952742968521718, 0.9921559877955758, 0.994622511416587, 0.9978464992855685, 0.996625692565391, 0.9923972171052273, 0.9980861605933986, 0.9958826039542934, 0.9944680013603943, 0.9953931770048599, 0.9905643012601205, 0.9960367275493006, 0.989599147286971, 0.9901490085502642, 0.9941601984287873, 0.9856871243912548, 0.9927288302775187, 0.9933232220395606, 0.9943182976579334, 0.9959694162974999, 0.9854457831598594, 0.992570430471039, 0.99095821155048, 0.9963836220463668, 0.9922998052960607, 0.9898399319303689, 0.9965658754776798, 0.9953401680182828, 0.9951934489016556, 0.9974866057358966, 0.992540688453247, 0.9926281244063582, 0.9920588976174007, 0.9950643387785204, 0.9944074809665674, 0.9984324324324325, 0.9925073899847145, 0.9917424621476265, 0.9955925894810178, 0.9957419295671315, 0.9936775335726109, 0.9950750406363988]","[0.1419107708534167, 0.1259179731387074, 0.17456089042052886, 0.2210981138573885, 0.31386722336220163, 0.3550542503038483, 0.41864801423465403, 0.478298867445673, 0.3937091944719947, 0.605184910713878, 0.7334801550397726, 0.7001230962378667, 0.6785636840148174, 0.673369148942861, 0.9293675971829796, 0.9324224636364858, 0.9367331694471688, 0.9786901719304222, 0.9720763566852902, 0.9583251774795452, 0.9772646467951379, 0.9898795629421157, 0.9684100555541273, 0.9577497693117956, 0.9707093940925884, 0.9764252151102069, 0.9801091844555435, 0.9927703529380111, 0.9992366412213741, 0.994382812639748, 0.9905485423715877, 0.9801676088765984, 0.9572159895695803, 0.9729399157504979, 0.9898404978433053, 0.9936289514752064, 0.9963821480596853, 0.9945848193850331, 0.9965148592107674, 0.9889288693763681, 0.995179924896906, 0.9976464356670119, 0.9971670600435111, 0.9988993710691825, 0.9968255297652282, 0.9946884086145691, 0.9965500599520384, 0.9947831422063558, 0.9951449132773243, 0.998571144080454, 0.9980651336443737, 0.9974021344921689, 0.993478554476142, 0.9914259981591084, 0.9992481203007518, 0.9986516447219582, 1.0, 1.0, 0.9989247311827956, 1.0, 0.9976047782736265, 0.9983738762559493, 0.998108598548297, 0.9950630566001445, 0.9979100951384765, 0.9984732824427482, 0.9973330565231464, 1.0, 0.9970175438596491, 0.9984222186199816, 0.9986111111111111, 1.0, 1.0, 0.9967462867958303, 0.9981552055579913, 0.9986111111111111, 1.0, 0.9991803278688526, 0.9989247311827956, 0.9992592592592594, 0.9994082840236687, 0.9986111111111111, 0.9986111111111111, 0.9994011976047904, 1.0, 0.9972670250896056, 0.9981182795698924, 1.0, 1.0, 0.996821556579621, 0.9989247311827956, 1.0, 0.9992592592592592, 1.0, 0.9992592592592592, 1.0, 0.9992592592592594, 0.9986342592592594, 1.0, 0.9994623655913978]",[],[],
