Using device: cuda
Starting centralized pretraining for 200 epochs...
Epoch [97/200] | Loss: 0.7303 | Test Acc: 82.39%
Epoch [98/200] | Loss: 0.7262 | Test Acc: 83.46%
Epoch [99/200] | Loss: 0.7232 | Test Acc: 81.35%
Epoch [100/200] | Loss: 0.7234 | Test Acc: 82.32%
Epoch [101/200] | Loss: 0.7166 | Test Acc: 81.27%
Epoch [102/200] | Loss: 0.7154 | Test Acc: 81.76%
Epoch [103/200] | Loss: 0.7147 | Test Acc: 81.86%
Epoch [104/200] | Loss: 0.7091 | Test Acc: 81.69%
Epoch [105/200] | Loss: 0.7112 | Test Acc: 81.57%
Epoch [106/200] | Loss: 0.7111 | Test Acc: 82.56%
Epoch [107/200] | Loss: 0.7048 | Test Acc: 82.66%
Epoch [108/200] | Loss: 0.7010 | Test Acc: 81.05%
Epoch [109/200] | Loss: 0.7005 | Test Acc: 80.58%
Epoch [110/200] | Loss: 0.7006 | Test Acc: 78.54%
Epoch [111/200] | Loss: 0.6987 | Test Acc: 74.82%
Epoch [112/200] | Loss: 0.6889 | Test Acc: 82.41%
Epoch [113/200] | Loss: 0.6891 | Test Acc: 80.74%
Epoch [114/200] | Loss: 0.6836 | Test Acc: 83.39%
Epoch [115/200] | Loss: 0.6902 | Test Acc: 82.87%
Epoch [116/200] | Loss: 0.6831 | Test Acc: 81.66%
Epoch [117/200] | Loss: 0.6826 | Test Acc: 80.74%
Epoch [118/200] | Loss: 0.6814 | Test Acc: 82.60%
Epoch [119/200] | Loss: 0.6811 | Test Acc: 83.74%
Epoch [120/200] | Loss: 0.6764 | Test Acc: 83.29%
Epoch [121/200] | Loss: 0.6664 | Test Acc: 83.90%
Epoch [122/200] | Loss: 0.6696 | Test Acc: 83.48%
Epoch [123/200] | Loss: 0.6664 | Test Acc: 83.23%
Epoch [124/200] | Loss: 0.6674 | Test Acc: 84.24%
Epoch [125/200] | Loss: 0.6575 | Test Acc: 84.04%
Epoch [126/200] | Loss: 0.6610 | Test Acc: 82.27%
Epoch [127/200] | Loss: 0.6562 | Test Acc: 80.33%
Epoch [128/200] | Loss: 0.6552 | Test Acc: 82.41%
Epoch [129/200] | Loss: 0.6499 | Test Acc: 84.38%
Epoch [130/200] | Loss: 0.6487 | Test Acc: 83.15%
Epoch [131/200] | Loss: 0.6454 | Test Acc: 84.52%
Epoch [132/200] | Loss: 0.6454 | Test Acc: 85.03%
Epoch [133/200] | Loss: 0.6377 | Test Acc: 84.52%
Epoch [134/200] | Loss: 0.6367 | Test Acc: 84.72%
Epoch [135/200] | Loss: 0.6358 | Test Acc: 84.76%
Epoch [136/200] | Loss: 0.6340 | Test Acc: 85.29%
Epoch [137/200] | Loss: 0.6306 | Test Acc: 84.02%
Epoch [138/200] | Loss: 0.6294 | Test Acc: 84.79%
Epoch [139/200] | Loss: 0.6240 | Test Acc: 86.44%
Epoch [140/200] | Loss: 0.6211 | Test Acc: 84.95%
Epoch [141/200] | Loss: 0.6133 | Test Acc: 82.54%
Epoch [142/200] | Loss: 0.6140 | Test Acc: 85.41%
Epoch [143/200] | Loss: 0.6112 | Test Acc: 85.21%
Epoch [144/200] | Loss: 0.6080 | Test Acc: 85.63%
Epoch [145/200] | Loss: 0.6086 | Test Acc: 85.15%
Epoch [146/200] | Loss: 0.5998 | Test Acc: 84.48%
Epoch [147/200] | Loss: 0.5986 | Test Acc: 85.24%
Epoch [148/200] | Loss: 0.5979 | Test Acc: 85.83%
Epoch [149/200] | Loss: 0.5895 | Test Acc: 86.10%
Epoch [150/200] | Loss: 0.5886 | Test Acc: 86.20%
Epoch [151/200] | Loss: 0.5837 | Test Acc: 86.96%
Epoch [152/200] | Loss: 0.5804 | Test Acc: 86.71%
Epoch [153/200] | Loss: 0.5786 | Test Acc: 86.23%
Epoch [154/200] | Loss: 0.5764 | Test Acc: 86.81%
Epoch [155/200] | Loss: 0.5711 | Test Acc: 86.78%
Epoch [156/200] | Loss: 0.5677 | Test Acc: 86.83%
Epoch [157/200] | Loss: 0.5631 | Test Acc: 87.66%
Epoch [158/200] | Loss: 0.5599 | Test Acc: 87.76%
Epoch [159/200] | Loss: 0.5571 | Test Acc: 86.81%
Epoch [160/200] | Loss: 0.5494 | Test Acc: 87.41%
Epoch [161/200] | Loss: 0.5517 | Test Acc: 86.97%
Epoch [162/200] | Loss: 0.5498 | Test Acc: 87.75%
Epoch [163/200] | Loss: 0.5432 | Test Acc: 87.25%
Epoch [164/200] | Loss: 0.5391 | Test Acc: 87.94%
Epoch [165/200] | Loss: 0.5326 | Test Acc: 87.70%
Epoch [166/200] | Loss: 0.5328 | Test Acc: 87.53%
Epoch [167/200] | Loss: 0.5290 | Test Acc: 87.97%
Epoch [168/200] | Loss: 0.5230 | Test Acc: 87.50%
Epoch [169/200] | Loss: 0.5190 | Test Acc: 87.75%
Epoch [170/200] | Loss: 0.5158 | Test Acc: 88.20%
Epoch [171/200] | Loss: 0.5128 | Test Acc: 88.24%
Epoch [172/200] | Loss: 0.5091 | Test Acc: 88.24%
Epoch [173/200] | Loss: 0.5061 | Test Acc: 87.75%
Epoch [174/200] | Loss: 0.5032 | Test Acc: 88.47%
Epoch [175/200] | Loss: 0.4990 | Test Acc: 88.40%
Epoch [176/200] | Loss: 0.4918 | Test Acc: 88.63%
Epoch [177/200] | Loss: 0.4912 | Test Acc: 88.38%
Epoch [178/200] | Loss: 0.4896 | Test Acc: 88.61%
Epoch [179/200] | Loss: 0.4846 | Test Acc: 89.26%
Epoch [180/200] | Loss: 0.4789 | Test Acc: 89.07%
Epoch [181/200] | Loss: 0.4737 | Test Acc: 89.09%
Epoch [182/200] | Loss: 0.4738 | Test Acc: 89.26%
Epoch [183/200] | Loss: 0.4738 | Test Acc: 88.93%
Epoch [184/200] | Loss: 0.4682 | Test Acc: 89.06%
Epoch [185/200] | Loss: 0.4642 | Test Acc: 89.17%
Epoch [186/200] | Loss: 0.4614 | Test Acc: 89.28%
Epoch [187/200] | Loss: 0.4608 | Test Acc: 89.28%
Epoch [188/200] | Loss: 0.4566 | Test Acc: 89.31%
Epoch [189/200] | Loss: 0.4554 | Test Acc: 89.52%
Epoch [190/200] | Loss: 0.4554 | Test Acc: 89.33%
Epoch [191/200] | Loss: 0.4515 | Test Acc: 89.30%
Epoch [192/200] | Loss: 0.4531 | Test Acc: 89.56%
Epoch [193/200] | Loss: 0.4510 | Test Acc: 89.52%
Epoch [194/200] | Loss: 0.4492 | Test Acc: 89.42%
Epoch [195/200] | Loss: 0.4491 | Test Acc: 89.42%
Epoch [196/200] | Loss: 0.4477 | Test Acc: 89.54%
Epoch [197/200] | Loss: 0.4475 | Test Acc: 89.44%
Epoch [198/200] | Loss: 0.4453 | Test Acc: 89.46%
